,H,L,F,B,K,C,G
LMST01030145,False,False,True,False,False,False,False
LMST03020228,False,False,False,False,True,False,False
LMST02020028,False,False,False,True,False,False,False
LMST01020102,False,False,True,False,False,False,False
LMST01031036,False,False,True,False,False,False,False
LMST01010304,True,True,True,True,True,True,True
LMST01010019,False,False,False,True,False,False,False
LMST01020013,True,False,True,False,True,False,False
LMST01030115,False,False,False,True,True,False,False
LMST03020308,False,True,True,False,False,False,False
LMST01030110,True,True,True,True,True,True,True
LMST01010305,False,True,True,True,True,False,True
LMST01030137,True,True,True,True,True,True,True
LMST01020067,False,False,True,False,False,False,False
LMST01020008,True,True,True,True,True,True,True
LMST03020335,False,False,False,True,False,False,False
LMST01040123,False,False,True,False,False,False,False
LMST01020005,True,True,True,False,True,True,True
LMST02020029,False,False,False,True,False,False,False
LMST01040130,False,False,True,False,False,False,False
LMST01010016,True,True,True,True,False,False,True
LMST03020405,False,False,False,True,False,False,False
LMST01010149,False,False,True,False,False,False,False
LMST01110014,False,False,True,True,False,False,False
LMST01020019,True,False,True,False,True,True,False
LMST03020010,False,False,False,False,False,True,False
LMST01020007,True,True,True,False,False,False,False
LMST01010136,True,True,True,False,False,False,True
LMST03020259,False,False,False,True,False,False,False
LMST01030140,False,False,True,False,False,False,False
LMST03020419,False,False,False,False,True,False,False
LMST01010350,False,False,True,False,True,True,False
LMST01020009,True,False,True,False,True,True,True
LMST01050007,False,False,False,True,False,False,False
LMST01040131,True,True,True,True,True,True,True
LMST01030105,False,False,True,True,True,False,False
LMST03020155,False,False,True,False,False,False,False
LMST01010400,False,True,True,True,False,False,True
LMST03020265,False,False,False,True,False,False,False
LMST01060005,False,False,False,True,True,False,False
LMST01040122,False,False,True,False,False,False,False
LMST01020003,True,True,True,False,True,False,True
LMST01010143,False,False,False,False,True,False,False
LMST01010211,False,False,False,True,False,False,False
LMST01010282,False,False,False,True,True,False,False
LMST03020156,False,False,True,False,False,False,False
LMST01010352,False,False,False,True,False,False,False
LMST03020334,False,False,False,True,False,False,False
LMST01030099,False,True,False,True,False,False,True
LMST01020065,False,False,True,False,False,False,False
LMST01010066,False,True,False,False,False,False,False
LMST01010018,False,False,False,True,False,False,False
LMST01010242,False,True,False,False,False,False,False
LMST01040239,False,False,False,False,True,False,False
LMST01010058,False,False,False,True,False,False,False
LMST01020015,True,False,False,False,True,False,False
LMST01110004,False,False,False,True,False,False,False
LMST01010001,True,True,True,True,True,True,True
LMST01031087,False,False,False,False,True,False,False
LMST01031033,False,False,True,False,False,False,False
LMST01040140,False,False,True,False,False,False,False
LMST01031048,True,True,True,True,True,True,True
LMST01010331,False,False,True,False,False,False,False
LMST01010095,False,True,False,True,True,True,True
LMST01020097,False,False,True,False,False,False,False
LMST01010069,False,False,True,True,False,False,False
LMST01031049,False,False,False,False,True,False,False
LMST01010088,False,False,False,True,False,False,False
LMST01020071,False,False,True,False,False,False,False
LMST01030108,False,False,True,False,False,False,False
LMST01010290,False,True,False,True,False,False,False
LMST03020258,False,False,False,True,False,False,False
LMST01010086,False,False,False,True,False,False,False
LMST01040136,True,False,False,False,False,True,False
LMST01020075,False,False,True,False,False,False,False
LMST01010017,False,False,True,False,False,False,False
LMST01010202,True,True,True,True,True,True,True
LMST02020044,False,False,False,True,False,False,False
LMST01010207,False,False,True,False,False,False,False
LMST01040129,True,True,False,True,True,True,True
LMST01040137,False,False,False,False,True,False,False
LMST01040155,False,False,False,True,False,False,False
LMST01020014,True,True,True,False,True,True,True
LMST01030109,True,True,True,True,True,True,True
LMST01010138,False,False,True,False,True,False,False
LMST01030119,False,False,True,True,True,False,False
LMST01010089,True,True,True,True,True,True,True
LMST01010286,True,True,False,True,True,True,True
LMST01010317,False,False,False,True,False,False,False
LMST01010121,False,False,False,True,False,False,False
LMST01020068,False,False,False,True,False,False,False
LMST01010306,False,False,True,False,False,False,False
LMST01030097,False,False,True,False,False,False,False
LMST01010254,False,False,True,True,False,False,False
LMST03020148,False,False,True,False,False,False,False
LMST01010468,False,False,False,True,False,False,False
LMST01050021,False,False,False,True,False,False,False
LMST01010081,False,False,True,False,False,False,False
LMST01050012,False,True,True,False,True,False,False
LMST01020059,False,False,False,False,True,False,False
LMST01010330,True,True,True,True,True,True,True
LMST01010164,False,False,False,True,False,False,False
LMST01031051,False,False,True,False,False,False,False
LMST01020098,False,False,True,False,False,False,False
