,CCS,AtomCount_nH,ATS_ATS6s,ATS_ATS4i,AATS_AATS4v,AATS_AATS4p,GATS_GATS7dv,GATS_GATS8dv,Chi_AXp-6dv,TotalIC_TIC2,EState_VSA_EState_VSA5,MolecularId_AMID_N,ZagrebIndex_mZagreb1
LMST01010001_14-15,217.2,50,548.7083333,57896.90683,137.0983351,1.155182939,0.948499582,0.89152835,0.032458917,303.6593151,57.78739461,0.071448486,10.9375
LMST01010013_15-16,218.8,50,681.7916667,58925.87547,139.6839342,1.154252159,0.946112711,0.907763769,0.029271336,317.1018514,49.84566109,0.068928657,11.79861111
LMST01010016_1-3,220.5,48,479.2152778,54262.88886,135.2676781,1.152987754,0.962410072,1.008454943,0.033597178,331.2934862,51.36657298,0.068411066,10.9375
LMST01010016_14-15,219.9,48,544.0416667,55741.48521,140.2551046,1.175722875,0.947600097,0.928435338,0.031675361,337.28932,56.93967751,0.071448486,10.9375
LMST01010017_1-3,231.2,54,597.1111111,63575.44828,140.3836035,1.183606961,0.914613388,1.011616112,0.030146783,349.4774341,57.78739461,0.06218962,13.70138889
LMST01010049_15-16,222.1,48,664.125,56425.54315,142.0075732,1.166533594,0.971183416,0.921053851,0.02779598,314.2277023,49.84566109,0.068928657,11.79861111
LMST01010069_12-13,210.4,48,546.7083333,54093.11518,142.9296183,1.187279869,0.878774811,0.926290808,0.028269488,321.8703082,51.36657298,0.07193696,10.9375
LMST01010069_14-15,210.4,48,521.2916667,54229.33136,140.5952504,1.174734625,0.942968695,0.880232149,0.028080392,316.1999022,51.36657298,0.071448486,10.9375
LMST01010089_12-13,216.8,50,561.8472222,57888.13768,138.5071844,1.159823305,0.876436782,0.929645951,0.031501474,304.4142026,57.78739461,0.07193696,10.9375
LMST01020003_8-9,291.2,82,762.0138889,78382.01541,133.1388045,1.124738958,1.089551843,1.147404154,0.036302992,512.7465255,134.8372541,0.042766959,16.20833333
LMST01020005_23-24,284.5,80,789.6805556,79412.45085,134.4732966,1.129975406,1.165061954,1.190064962,0.03340314,454.0224772,134.8372541,0.045759944,15.79861111
LMST01020008_5-6,291.2,80,751.6805556,76277.46052,134.8912558,1.135656873,1.110677375,1.12822683,0.034951689,545.1592319,115.5747892,0.042707839,16.20833333
LMST01020008_8-9,291.2,80,751.0138889,76277.46052,134.8912558,1.135656873,1.108104874,1.140454076,0.034828418,545.1592319,121.9956108,0.042766959,16.20833333
LMST01040123_13-14,224.4,52,576.1944444,58915.33616,141.6888705,1.186660369,0.984218486,0.89310399,0.030943391,351.717948,44.94575136,0.066983229,12.04861111
LMST01040123_3-4,222.7,52,590.3194444,57986.47359,141.9488075,1.187078826,0.88242735,0.885068935,0.032267449,360.6768976,44.94575136,0.065463395,11.95833333
LMST01040129_13-14,225.1,54,596.0277778,61957.69796,138.506309,1.167800544,0.991044113,0.934002915,0.032547408,329.9668358,57.78739461,0.066983229,12.04861111
LMST01080037_8-9,215.8,46,584.9444444,58124.82437,144.5191737,1.174177255,0.843704057,0.904878703,0.026700528,337.9185105,38.52492974,0.067005116,10.36111111
LMST02020021_7-8,176.0,32,387.125,40321.30856,142.9679318,1.176232405,0.875167091,1.021399191,0.029089127,237.6522653,19.26246487,0.093167465,7.965277778
LMST02030088_9-10,183.3,36,445.5694444,45067.95573,145.1850199,1.192692993,0.868823248,0.796148364,0.029908735,260.0005401,32.10410811,0.08572976,9.076388889
LMST03010001_9-10,219.8,48,476.8611111,48151.13016,139.6389538,1.168599537,1.008766932,1.003869396,0.029451439,360.1111077,43.25031717,0.06920657,11.98611111
LMST03020001_9-10,218.7,48,475.125,48463.61429,136.1235362,1.14311696,0.996543424,1.016097019,0.03196024,334.673398,62.51278204,0.071513523,11.125
